gene,B Han_2025,D Coppola_2011,G Bindea_2013,I P.MacFawn_2024,J Yang_2025,J-X Lei_2024,L Pu_2025,L de Chaisemartin_2011,M Jiao_2025,M Meylan_2022,R Cabrita_2020,R Wu_2021,W Wu_2024,X Liu_2024,X Wang_2024,Y Hou_2023,Y Hua_2025,Y Liu_2024,Y Zhang_2024,Z Gong_2024,Z Xu_2024
LSP1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LTB,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
LTF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LUM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MADCAM1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MMP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MS4A1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
MZB1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NEXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NIBAN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NOP53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NOTUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OGA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PDCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
