group,names,scores,logfoldchanges,pvals,pvals_adj
17,CD74,-7.452445,-0.8885472,9.162591290757233e-14,1.3929429409773682e-10
16,S100A6,7.444819,0.62552977,9.707759184259186e-14,1.1806576719896023e-10
13,IGHG2,-7.3546886,-1.405832,1.913729292836121e-13,1.293043092192939e-10
16,VIM,-7.3424754,-0.916323,2.0967893936540718e-13,2.390733056776952e-10
18,IGLC3,-7.3377647,-1.0396928,2.1719025724500273e-13,1.3207339543068615e-09
13,RNASE1,7.329698,0.7259505,2.306714424513149e-13,1.502906830228335e-10
19,VIM,-7.2492003,-1.1537316,4.1923908060015695e-13,7.648178547388663e-10
17,A2M,-7.227757,-1.2652705,4.910359143928999e-13,6.890744758668979e-10
17,MT-CO2,7.212352,0.63132954,5.49936801279981e-13,7.166069332679066e-10
15,APOE,-7.206264,-0.94348603,5.750791008219344e-13,4.5613774070845864e-10
13,MT-CYB,7.170922,0.45614743,7.449454744939387e-13,4.686220790066526e-10
